INFO 2024-01-16 10:25:38,166 autoreload Watching for file changes with StatReloader
DEBUG 2024-01-16 10:25:38,167 autoreload Waiting for apps ready_event.
DEBUG 2024-01-16 10:25:38,176 autoreload Apps ready_event triggered. Sending autoreload_started signal.
DEBUG 2024-01-16 10:25:38,208 autoreload Watching dir C:\Users\me\¬¯¬à¬Ó¬Ñ¬ñ ¬á¬Ñ¬á¬Ü¬Ñ (2)\seminar2\shop\templates with glob **/*.
DEBUG 2024-01-16 10:25:38,215 autoreload Watching dir C:\Users\me\¬¯¬à¬Ó¬Ñ¬ñ ¬á¬Ñ¬á¬Ü¬Ñ (2)\seminar2\locale with glob **/*.mo.
DEBUG 2024-01-16 10:25:38,215 autoreload Watching dir C:\Users\me\¬¯¬à¬Ó¬Ñ¬ñ ¬á¬Ñ¬á¬Ü¬Ñ (2)\seminar2\shop\locale with glob **/*.mo.
DEBUG 2024-01-16 10:25:38,267 utils (0.000) 
            SELECT name, type FROM sqlite_master
            WHERE type in ('table', 'view') AND NOT name='sqlite_sequence'
            ORDER BY name; args=None; alias=default
DEBUG 2024-01-16 10:25:38,271 utils (0.000) SELECT "django_migrations"."id", "django_migrations"."app", "django_migrations"."name", "django_migrations"."applied" FROM "django_migrations"; args=(); alias=default
DEBUG 2024-01-16 10:25:38,479 autoreload File C:\Program Files\Python310\Lib\sqlite3\dbapi2.py first seen with mtime 1662355052.0
DEBUG 2024-01-16 10:25:38,480 autoreload File C:\Users\me\¬¯¬à¬Ó¬Ñ¬ñ ¬á¬Ñ¬á¬Ü¬Ñ (2)\seminar2\.venv\Lib\site-packages\django\conf\__init__.py first seen with mtime 1705366640.4193292
DEBUG 2024-01-16 10:25:38,480 autoreload File C:\Users\me\¬¯¬à¬Ó¬Ñ¬ñ ¬á¬Ñ¬á¬Ü¬Ñ (2)\seminar2\.venv\Lib\site-packages\django\db\backends\signals.py first seen with mtime 1705366645.0591984
DEBUG 2024-01-16 10:25:38,481 autoreload File C:\Users\me\¬¯¬à¬Ó¬Ñ¬ñ ¬á¬Ñ¬á¬Ü¬Ñ (2)\seminar2\.venv\Lib\site-packages\django\template\__init__.py first seen with mtime 1705366645.3318586
DEBUG 2024-01-16 10:25:38,481 autoreload File C:\Users\me\¬¯¬à¬Ó¬Ñ¬ñ ¬á¬Ñ¬á¬Ü¬Ñ (2)\seminar2\.venv\Lib\site-packages\django\template\exceptions.py first seen with mtime 1705366645.3418593
DEBUG 2024-01-16 10:25:38,482 autoreload File C:\Users\me\¬¯¬à¬Ó¬Ñ¬ñ ¬á¬Ñ¬á¬Ü¬Ñ (2)\seminar2\.venv\Lib\site-packages\django\contrib\auth\validators.py first seen with mtime 1705366642.0651138
DEBUG 2024-01-16 10:25:38,482 autoreload File C:\Program Files\Python310\Lib\gettext.py first seen with mtime 1662355052.0
DEBUG 2024-01-16 10:25:38,483 autoreload File C:\Users\me\¬¯¬à¬Ó¬Ñ¬ñ ¬á¬Ñ¬á¬Ü¬Ñ (2)\seminar2\.venv\Lib\site-packages\sqlparse\filters\others.py first seen with mtime 1705366639.8976796
DEBUG 2024-01-16 10:25:38,483 autoreload File C:\Users\me\¬¯¬à¬Ó¬Ñ¬ñ ¬á¬Ñ¬á¬Ü¬Ñ (2)\seminar2\.venv\Lib\site-packages\django\conf\locale\__init__.py first seen with mtime 1705366640.4289608
DEBUG 2024-01-16 10:25:38,483 autoreload File C:\Program Files\Python310\Lib\socket.py first seen with mtime 1662355052.0
DEBUG 2024-01-16 10:25:38,484 autoreload File C:\Program Files\Python310\Lib\concurrent\futures\thread.py first seen with mtime 1662355052.0
DEBUG 2024-01-16 10:25:38,484 autoreload File C:\Program Files\Python310\Lib\urllib\error.py first seen with mtime 1662355052.0
DEBUG 2024-01-16 10:25:38,484 autoreload File C:\Program Files\Python310\Lib\posixpath.py first seen with mtime 1662355052.0
DEBUG 2024-01-16 10:25:38,485 autoreload File C:\Program Files\Python310\Lib\opcode.py first seen with mtime 1662355052.0
DEBUG 2024-01-16 10:25:38,485 autoreload File C:\Program Files\Python310\Lib\abc.py first seen with mtime 1662355052.0
DEBUG 2024-01-16 10:25:38,486 autoreload File C:\Users\me\¬¯¬à¬Ó¬Ñ¬ñ ¬á¬Ñ¬á¬Ü¬Ñ (2)\seminar2\.venv\Lib\site-packages\django\views\decorators\__init__.py first seen with mtime 1705366645.4861164
DEBUG 2024-01-16 10:25:38,486 autoreload File C:\Users\me\¬¯¬à¬Ó¬Ñ¬ñ ¬á¬Ñ¬á¬Ü¬Ñ (2)\seminar2\.venv\Lib\site-packages\django\contrib\staticfiles\__init__.py first seen with mtime 1705366644.9070158
DEBUG 2024-01-16 10:25:38,487 autoreload File C:\Users\me\¬¯¬à¬Ó¬Ñ¬ñ ¬á¬Ñ¬á¬Ü¬Ñ (2)\seminar2\.venv\Lib\site-packages\django\db\models\signals.py first seen with mtime 1705366645.1636064
DEBUG 2024-01-16 10:25:38,487 autoreload File C:\Program Files\Python310\Lib\asyncio\events.py first seen with mtime 1662355052.0
DEBUG 2024-01-16 10:25:38,488 autoreload File C:\Program Files\Python310\Lib\email\mime\text.py first seen with mtime 1662355052.0
DEBUG 2024-01-16 10:25:38,488 autoreload File C:\Users\me\¬¯¬à¬Ó¬Ñ¬ñ ¬á¬Ñ¬á¬Ü¬Ñ (2)\seminar2\.venv\Lib\site-packages\django\contrib\messages\__init__.py first seen with mtime 1705366643.5558307
DEBUG 2024-01-16 10:25:38,489 autoreload File C:\Users\me\¬¯¬à¬Ó¬Ñ¬ñ ¬á¬Ñ¬á¬Ü¬Ñ (2)\seminar2\.venv\Lib\site-packages\django\utils\__init__.py first seen with mtime 1705366645.422966
DEBUG 2024-01-16 10:25:38,489 autoreload File C:\Users\me\¬¯¬à¬Ó¬Ñ¬ñ ¬á¬Ñ¬á¬Ü¬Ñ (2)\seminar2\.venv\Lib\site-packages\django\core\checks\compatibility\__init__.py first seen with mtime 1705366644.9626188
DEBUG 2024-01-16 10:25:38,489 autoreload File C:\Users\me\¬¯¬à¬Ó¬Ñ¬ñ ¬á¬Ñ¬á¬Ü¬Ñ (2)\seminar2\.venv\Lib\site-packages\django\views\decorators\debug.py first seen with mtime 1705366645.4921167
DEBUG 2024-01-16 10:25:38,490 autoreload File C:\Users\me\¬¯¬à¬Ó¬Ñ¬ñ ¬á¬Ñ¬á¬Ü¬Ñ (2)\seminar2\.venv\Lib\site-packages\django\forms\utils.py first seen with mtime 1705366645.209195
DEBUG 2024-01-16 10:25:38,490 autoreload File C:\Users\me\¬¯¬à¬Ó¬Ñ¬ñ ¬á¬Ñ¬á¬Ü¬Ñ (2)\seminar2\.venv\Lib\site-packages\django\views\generic\detail.py first seen with mtime 1705366645.499681
DEBUG 2024-01-16 10:25:38,491 autoreload File C:\Users\me\¬¯¬à¬Ó¬Ñ¬ñ ¬á¬Ñ¬á¬Ü¬Ñ (2)\seminar2\.venv\Lib\site-packages\django\db\models\functions\mixins.py first seen with mtime 1705366645.1831937
DEBUG 2024-01-16 10:25:38,491 autoreload File C:\Program Files\Python310\Lib\urllib\response.py first seen with mtime 1662355052.0
DEBUG 2024-01-16 10:25:38,492 autoreload File C:\Users\me\¬¯¬à¬Ó¬Ñ¬ñ ¬á¬Ñ¬á¬Ü¬Ñ (2)\seminar2\.venv\Lib\site-packages\django\views\generic\edit.py first seen with mtime 1705366645.5011947
DEBUG 2024-01-16 10:25:38,492 autoreload File C:\Program Files\Python310\Lib\_compression.py first seen with mtime 1662355052.0
DEBUG 2024-01-16 10:25:38,492 autoreload File C:\Users\me\¬¯¬à¬Ó¬Ñ¬ñ ¬á¬Ñ¬á¬Ü¬Ñ (2)\seminar2\.venv\Lib\site-packages\django\core\files\__init__.py first seen with mtime 1705366644.969619
DEBUG 2024-01-16 10:25:38,493 autoreload File C:\Program Files\Python310\Lib\email\_policybase.py first seen with mtime 1662355052.0
